"sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"Consumer Defensive","14.924012","0.0044","4154165","5686900","11.262","0.217","Philip Morris International Inc., through its subsidiaries, manufactures and sells cigarettes, other nicotine-containing products, smoke-free products, and related electronic devices and accessories. The company offers IQOS smoke-free products, including heated tobacco and nicotine-containing vapor products under the HEETS, HEETS Marlboro, and HEETS FROM MARLBORO brands, as well as the Marlboro HeatSticks and Parliament HeatSticks brands. It also sells its products under the Marlboro, Parliament, Bond Street, Chesterfield, L&M, Lark, and Philip Morris brands. In addition, the company owns various cigarette brands, such as Dji Sam Soe, Sampoerna A, and Sampoerna U in Indonesia; and Fortune and Jackpot in the Philippines. It markets and sells its products in the European Union, Eastern Europe, the Middle East, Africa, South and Southeast Asia, East Asia, Australia, Latin America, and Canada. Philip Morris International Inc. was incorporated in 1987 and is headquartered in New York, New York.","https://logo.clearbit.com/pmi.com","0.26572","3.960032","0.95339996","United States","Tobacco","114694406144","-7.761","4.935","4.8","","0.807501"
"Basic Materials","28.927313","0.0187","1040391","1282516","16.487","0.204","PPG Industries, Inc. manufactures and distributes paints, coatings, and specialty materials worldwide. The company's Performance Coatings segment offers coatings, solvents, adhesives, sundries, and software for automotive and commercial transport/fleet repair and refurbishing, light industrial coatings, and specialty coatings for signs; and coatings, sealants, transparencies, transparent armor, adhesives, and packaging and chemical management services for commercial, military, regional jet, and general aviation aircraft. It also provides coatings and finishes for the protection of metals and structures, such as metal fabricators, heavy duty maintenance contractors, and manufacturers of ships, bridges, and rail cars; and paints, wood stains, and purchased sundries for painting and maintenance contractors, and consumers for decoration and maintenance of residential and commercial building structures. The company's Industrial Coatings segment provides coatings, adhesives and sealants, and metal pretreatments, as well as services and coatings applications for automotive original equipment manufacturers; appliances, agricultural and construction equipment, consumer electronics, automotive parts and accessories, building products, transportation vehicles and other finished products; and on-site coatings services. It also provides coatings for the protection, performance, and decoration of metal cans, closures, plastic tubes, industrial packaging, and promotional and specialty packaging. In addition, this segment offers amorphous precipitated silica for tire, battery separator, and other end-uses; TESLIN substrates for labels, e-passports, drivers' licenses, breathable membranes, and other loyalty and identification cards; and organic light emitting diode materials, displays and lighting lens materials, and optical lenses and color-change products, as well as photochromic dyes. The company was founded in 1883 and is headquartered in Pittsburgh, Pennsylvania.","https://logo.clearbit.com/ppg.com","0.07848","2.256213","0.4559","United States","Specialty Chemicals","31020670976","22.481","4.54","2.16","5.8418217","1.217319"
"Industrials","24.397446","0.0226","1407574","1256766","11.058","1.704","Quanta Services, Inc. provides specialty contracting services in the United States, Canada, Australia, Latin America, and internationally. Its Electric Power Infrastructure Services segment designs, installs, upgrades, repairs, and maintains electric power transmission and distribution infrastructure, and substation facilities, as well as provides other engineering and technical services; designs, installs, maintains, and repairs commercial and industrial wiring; and operates a postsecondary educational institution. It also offers emergency restoration services, including the repair of infrastructure damaged by inclement weather; installation, maintenance, and upgrade of electric power infrastructure; and installation of smart grid technologies on electric power networks. In addition, this segment provides services related to development of solar, wind, and various natural gas generation facilities, as well as related switchyards and transmission infrastructure; and construction of electric power generation facilities. The company's Pipeline and Industrial Infrastructure Services segment designs, installs, repairs, and maintains pipeline transmission and distribution systems, gathering systems, production systems, storage systems, and compressor and pump stations, as well as offers related trenching, directional boring, and mechanized welding services; and designs, installs, and maintains fueling systems, and water and sewer infrastructure. This segment also provides pipeline protection, integrity testing, and rehabilitation and replacement, as well as pipeline support systems, and related structures and facilities fabrication services; and high-pressure and critical-path turnaround, electrical, piping, fabrication, and storage tank services. It serves electric power, energy, and communications companies, as well as commercial, industrial, and governmental entities. The company was founded in 1997 and is headquartered in Houston, Texas.","https://logo.clearbit.com/quantaservices.com","0.03126","0.72369707","0.076","United States","Engineering & Construction","8493324288","28.425","2.506","0.2","2.1509235","1.180364"
"Energy","32.585598","0.021","3514562","3834400","5.64","","Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations primarily in the Permian Basin in West Texas. As of December 31, 2019, the company had proved undeveloped reserves and proved developed non-producing reserves of 39 million barrels of oil, 16 million barrels of NGLs, and 83 billion cubic feet of gas; and owned interests in 11 gas processing plants. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.","https://logo.clearbit.com/pxd.com","0.051810004","1.6581804","0.7857","United States","Oil & Gas E&P","13602053120","71.465","2.541","2.2","1.1586092","1.850523"
"Technology","53.588108","0.014199999","5470267","4734333","30.31","-0.607","QUALCOMM Incorporated designs, develops, manufactures, and markets digital communication products worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software based on code division multiple access (CDMA), orthogonal frequency division multiple access, and other technologies for use in wireless voice and data communications, networking, application processing, multimedia, and global positioning system products. This segment also provides products designed for the implementation of small cells. The QTL segment grants licenses or provides rights to use portions of its intellectual property portfolio, which include various patent rights useful in the manufacture and sale of wireless products comprising products implementing CDMA2000, wideband CDMA, CDMA time division duplex, long term evolution, and/or fifth generation standards and their derivatives. The QSI segment invests in early-stage companies in various industries, including artificial intelligence, automotive, digital healthcare, enterprise software and solutions, mobile and networking and investment for supporting the design and introduction of new products and services for voice and data communications, and new industry segments. The company also provides development, and other services and related products to the United States government agencies and their contractors. QUALCOMM Incorporated was founded in 1985 and is headquartered in San Diego, California.","https://logo.clearbit.com/qualcomm.com","0.13721","7.1197386","1.0591","United States","Semiconductors","142387658752","2.931","2.355","2.6","43.056976","1.360728"
"Healthcare","22.679367","0.0219","475009","571366","20.049","3.647","Regeneron Pharmaceuticals, Inc., a biopharmaceutical company, discovers, invents, develops, manufactures, and commercializes medicines for treating various medical conditions worldwide. The company's products include EYLEA injection to treat wet age-related macular degeneration and diabetic macular edema (DME); myopic choroidal neovascularization; and diabetic retinopathy in patients with DME, as well as macular edema following retinal vein occlusion, including macular edema following central retinal vein occlusion and macular edema following branch retinal vein occlusion. It also provides Dupixent injection to treat atopic dermatitis in adults, and asthma in adults and adolescents; Praluent injection for heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in adults; and Kevzara solution for subcutaneous injection for treating rheumatoid arthritis in adults. In addition, the company offers Libtayo injection to treat metastatic or locally advanced cutaneous squamous cell carcinoma; ARCALYST injection for cryopyrin-associated periodic syndromes, including familial cold auto-inflammatory syndrome and muckle-wells syndrome; and ZALTRAP injection for intravenous infusion to treat metastatic colorectal cancer. Further, it is developing various product candidates for treating patients with eye diseases, allergic and inflammatory diseases, cancer, cardiovascular and metabolic diseases, neuromuscular diseases, infectious diseases, and other diseases. The company has collaboration and license agreements with Sanofi; Bayer; Teva; Mitsubishi Tanabe Pharma; Alnylam Pharmaceuticals, Inc.; Roche Pharmaceuticals; and Vyriad, Inc., as well as has an agreement with the U.S. Department of Health and Human Services. It has collaborations with Zai Lab Limited; Intellia Therapeutics, Inc.; and BioNTech. Regeneron Pharmaceuticals, Inc. was founded in 1988 and is headquartered in Tarrytown, New York.","https://logo.clearbit.com/regeneron.com","0.3432","7.168597","","United States","Biotechnology","62318047232","86.37","25.827","","6.7817526","0.501378"
"Industrials","17.854889","0.066199996","1500842","1475066","10.885","-0.354","Robert Half International Inc. provides staffing and risk consulting services in North America, South America, Europe, Asia, and Australia. The company operates through three segments: Temporary and Consultant Staffing, Permanent Placement Staffing, and Risk Consulting and Internal Audit Services. It places temporary services for accounting, finance, and bookkeeping; temporary and full-time office and administrative personnel consisting of executive and administrative assistants, receptionists, and customer service representatives; full-time accounting, financial, tax, and accounting operations personnel; and information technology contract consultants and full-time employees in the areas of platform systems integration to end-user technical and desktop support, including specialists in application development, networking, systems integration and deployment, database design and administration, and security and business continuity. The company also offers temporary and full-time employees in attorney, paralegal, legal administrative, and legal secretarial positions; and senior level project professionals in the accounting and finance fields for financial systems conversions, expansion into new markets, business process reengineering, business systems performance improvement, and post-merger financial consolidation. In addition, it is involved in serving professionals in the areas of interactive media, design, marketing, advertising, and public relations; and placing freelance and project consultants in various positions, such as creative directors, graphics designers, Web content developers, Web designers, media buyers, brand managers, and public relations specialists. Further, the company provides business and technology risk consulting, and internal audit services. It serves clients and employment candidates. Robert Half International Inc. was founded in 1948 and is headquartered in Menlo Park, California.","https://logo.clearbit.com/roberthalf.com","0.06078","1.09307","0.4667","United States","Staffing & Employment Services","5839506944","10.25","2.853","1.36","4.969756","1.525648"
"Financial Services","12.864281","0.0183","458531","436533","","-0.336","Raymond James Financial, Inc., through its subsidiaries, engages in the underwriting, distribution, trading, and brokerage of equity and debt securities, and the sale of mutual funds and other investment products in the United States, Canada, and Europe. It operates in five segments: Private Client Group (PCG), Capital Markets, Asset Management, Raymond James (RJ) Bank, and Other. The PCG segment offers securities transaction services, including the sale of equities, mutual funds, fixed income products, and insurance and annuity products to retail clients; investment advisory, investment, and margin loan services; custodial, trading, research, and other support services; diversification strategies and alternative investment products; and borrowing and lending of securities to and from other broker-dealers, financial institutions, and other counterparties. The Capital Markets segment engages in the fixed income and equity institutional sales and trading activities; equity research and investment banking activities; and syndication and related management of investments that qualify for tax credits. It also provides debt and equity underwriting, merger and acquisition, advisory, and public finance services. The Asset Management segment offers portfolio management and related administrative services for retail and institutional clients; and administrative support services, such as record-keeping. The RJ Bank segment provides corporate loans, SBL, tax-exempt loans, residential loans, and other loans. The Other segment engages in the private equity activities, including various direct and third-party private equity investments; and private equity funds. The company was founded in 1962 and is headquartered in St. Petersburg, Florida.","https://logo.clearbit.com/raymondjames.com","0.11327","1.4187065","0.2339","United States","Capital Markets","10946739200","50.83","6.204","1.48","1.5701356","1.32653"
"Consumer Cyclical","41.693813","0.062800005","1173886","1011450","13.186","","Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. The company offers apparel, including a range of men's, women's, and children's clothing accessories, which comprise sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, umbrellas, and belts, as well as leather goods, such as handbags, luggage, small leather goods, and belts; home products consisting of bedding and bath products, furniture, fabrics and wallpapers, lightings, tabletops, floorcoverings, and giftware; and fragrances. It sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, Chaps, Club Monaco, and other brand names; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, Ralph Collection, and Big Pony Women's brand names; and men's fragrances under the Polo Blue, Safari, Purple Label, Polo Red, Polo Green, Polo Black, Polo Supreme, Polo Sport, and Big Pony Men's brand names. The company's restaurant concepts include The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; and Ralph's Coffee concept. Ralph Lauren Corporation sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. The company directly operates 530 retail stores and 654 concession-based shop-within-shops; and operates 80 Ralph Lauren stores, 31 Ralph Lauren concession shops, and 139 Club Monaco stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is based in New York, New York.","https://logo.clearbit.com/ralphlauren.com","0.026730001","1.0749897","1.1719","United States","Apparel Manufacturing","5609833472","34.968","1.842","","2.1962938","1.206839"
"Healthcare","42.278687","0.0101","350110","361966","29.251","1.585","ResMed Inc. develops, manufactures, distributes, and markets medical devices and cloud-based software applications that diagnose, treat, and manage respiratory disorders comprising sleep apnea, chronic obstructive pulmonary disease, neuromuscular disease, and other chronic diseases. The company operates in two segments, Sleep and Respiratory Care, and Software as a Service. It offers various products and solutions for a range of respiratory disorders, including technologies to be applied in medical and consumer products, ventilation devices, diagnostic products, mask systems for use in the hospital and home, headgear and other accessories, dental devices, portable oxygen concentrators, and cloud-based software informatics solutions to manage patient outcomes, as well as provides customer and business processes. The company also provides U-Sleep, which enables automated patient coaching through a text, email, or interactive voice phone call; AirView that enables remote monitoring, over-the-air trouble shooting, and changing of device settings; and myAir, a patient engagement application that offers sleep data and a daily score based on their previous night's data, as well as connectivity module and propeller solutions. In addition, it provides business management software and services to out-of-hospital providers, home medical equipment, pharmacy, home infusion, orthotics, and prosthetics; and HEALTHCAREfirst and MatrixCare solutions. The company markets its products to sleep clinics, home healthcare dealers, patients, hospitals, physicians, and third-party payers through a network of distributors and direct sales force in approximately 140 countries. ResMed Inc. was founded in 1989 and is headquartered in San Diego, California.","https://logo.clearbit.com/resmed.com","0.21024","8.846847","0.3653","United States","Medical Instruments & Supplies","26160240640","17.234","4.27","1.56","10.475224","0.374517"
"Industrials","36.020065","0.0239","606261","624700","23.106","0.216","Rockwell Automation, Inc. provides industrial automation and digital transformation solutions. It operates in two segments, Architecture & Software, and Control Products & Solutions. The Architecture & Software segment offers a portfolio of automation and information platforms, including hardware and software. Its products include programmable automation controllers; design, visualization, and simulation software; and human machine interface products, networking products, industrial computers, sensing devices, machine safety devices, motion control products, and independent cart technology products. This segment also offers manufacturing execution systems and analytics software to enhance operational productivity and meet regulatory requirements. The Control Products & Solutions segment offers low and medium voltage electro-mechanical and electronic motor starters, AC/DC variable frequency drives, motor control and circuit protection devices, operator and signaling devices, termination and protection devices, relays and timers, and electrical control accessories. This segment also provides pre-configured line and load power solutions, packaged drives, motor control centers, and intelligent packaged power and engineered to order automation equipment solutions; and professional lifecycle services, such as safety, security, and digital transformation consulting, as well as automation and information project delivery capabilities, plant network, cloud, cybersecurity, asset management and predictive analytics, and remote, on-site, and managed support services. It primarily serves a range of industries, which include the automotive, semiconductor, and warehousing and logistics; food and beverage, and life sciences; and oil and gas, metals, and chemicals through independent distributors and direct sales force worldwide. Rockwell Automation, Inc. was founded in 1903 and is headquartered in Milwaukee, Wisconsin.","https://logo.clearbit.com/rockwellautomation.com","0.11846","4.2337785","0.6088","United States","Specialty Industrial Machinery","27477221376","6.644","6.578","4.08","35.66225","1.469939"
"Industrials","27.37211","0.0145000005","423177","395100","24.901","-0.122","Roper Technologies, Inc. designs and develops software, and engineered products and solutions worldwide. It offers management, campus solutions, laboratory information management, enterprise management, information solutions, transportation management, financial and compliance management, cloud-based financial analytics and performance management, and diagnostic and laboratory information system software; and software, services, and technologies for foodservice operations. The company also provides cloud-based data, collaboration, and estimating automation software; visual effects and 3D content software; electronic marketplace; wireless sensor network and solutions; cloud-based software solutions; supply chain software; health care service and software; RFID card readers; data analytics and information; pharmacies software solutions; and toll system and products, transaction and violation processing services, and intelligent traffic systems. In addition, it offers precision rubber and polymer testing instruments, and data analysis software; ultrasound accessories; radiotherapy solutions; testing and analyzing plastics solutions; dispensers and metering pumps; control valves; precision weighing equipment; automated surgical scrub and linen dispensing equipment; water meters; automated leak detection equipment; medical devices; products and services for water and gas utilities; and equipment and consumables. The company also provides temperature control and emergency shutoff valves; turbomachinery control hardware, software, and services; specialized pumps; low meter calibrators, and controllers; vibration monitoring systems and controls; analytical instrument; drilling power section; pressure and level sensors; and non-destructive testing equipment and solutions. The company was formerly known as Roper Industries, Inc. and changed its name to Roper Technologies, Inc. in April 2015. Roper Technologies, Inc. was incorporated in 1981 and is based in Sarasota, Florida.","https://logo.clearbit.com/ropertech.com","0.29752","8.095778","0.1309","United States","Specialty Industrial Machinery","43757682688","94.352","15.267","2.05","4.4290533","1.059018"
"Consumer Cyclical","60.0131","0.012","2339874","2288616","33.381","-0.947","Ross Stores, Inc., together with its subsidiaries, operates off-price retail apparel and home fashion stores under the Ross Dress for Less and dd's DISCOUNTS brands. Its stores primarily offers apparel, accessories, footwear, and home fashions. The company's Ross Dress for Less stores sell its products at department and specialty stores primarily to middle income households; and dd's DISCOUNTS stores sell its products at department and discount stores regular prices to customers from households with moderate income. As of October 21, 2020, it operated approximately 1,800 off-price apparel and home fashion stores in 39 states, the District of Columbia, and Guam. The company was founded in 1982 and is headquartered in Dublin, California.","https://logo.clearbit.com/rossstores.com","0.042480003","2.5507839","0.53","United States","Apparel Retail","32624390144","8.054","1.527","","11.378198","0.728075"
"Industrials","27.516657","0.0087","701118","710650","13.081","-0.103","Republic Services, Inc., together with its subsidiaries, provides non-hazardous solid waste collection, transfer, disposal, recycling, and environmental services in the United States. The company serves small-container, large-container, and municipal and residential customers. The company's collection services include curbside collection of waste for transport to transfer stations, landfills, or recycling processing centers; supply of waste containers; and renting of compactors. It is also involved in the processing and sale of old corrugated containers, old newsprint, aluminum, glass, and other materials; temporary waste and recycling collection services; and provision of landfill services. As of December 31, 2019, the company operated through 340 collection operations, 212 transfer stations, 189 active landfills, 79 recycling processing centers, and 15 salt water disposal wells, as well as 7 treatment, recovery, and disposal facilities in 41 states and Puerto Rico. It also operated 75 landfill gas-to-energy and renewable energy projects and had 130 closed landfills. The company was founded in 1996 and is headquartered in Phoenix, Arizona.","https://logo.clearbit.com/republicservices.com","0.10354","2.828268","0.4909","United States","Waste Management","28938272768","25.855","3.302","1.7","3.514214","0.622173"
"Consumer Cyclical","79.627","0.0107","7756413","5718416","37.512","","Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates in three segments: Americas; International; and Channel Development. Its stores offer coffee and tea beverages, roasted whole bean and ground coffees, single-serve and ready-to-drink beverages, and iced tea; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. It offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brand names. As of October 30, 2019, the company operated approximately 31,000 stores. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington.","https://logo.clearbit.com/starbucks.com","0.055630002","4.355954","1.4196","United States","Restaurants","104812535808","-7.376","1.126","1.8","","0.805846"
"Financial Services","18.133396","0.0127","7493396","9952550","","-0.266","The Charles Schwab Corporation, through its subsidiaries, provides wealth management, securities brokerage, banking, asset management, custody, and financial advisory services. The company operates through two segments, Investor Services and Advisor Services. The Investor Services segment provides retail brokerage and banking services, retirement plan services, and other corporate brokerage services; equity compensation plan sponsors full-service recordkeeping for stock plans, stock options, restricted stock, performance shares, and stock appreciation rights; and retail investor, retirement plan, and mutual fund clearing services. The Advisor Services segment offers custodial, trading, and support services; and retirement business and corporate brokerage retirement services. This segment provides brokerage accounts with cash management capabilities; third-party mutual funds, as well as proprietary mutual funds, plus mutual fund trading, and clearing services to broker-dealers; and exchange-traded funds (ETFs), including proprietary and third-party ETFs. It also offers advice solutions, such as managed portfolios of proprietary and third-party mutual funds and ETFs, separately managed accounts, customized personal advice for tailored portfolios, and specialized planning and portfolio management. In addition, this segment provides banking products and services, including checking and savings accounts, certificates of deposit, first lien residential real estate mortgage loans, home equity loans and lines of credit, and pledged asset lines; and trust services comprising trust custody services, personal trust reporting services, and administrative trustee services. The company serves individuals and institutional clients in the United States, the Commonwealth of Puerto Rico, the United Kingdom, Hong Kong, Singapore, and Australia. The Charles Schwab Corporation was founded in 1971 and is headquartered in San Francisco, California.","https://logo.clearbit.com/schwab.com","0.29799","7.256927","0.32869998","United States","Capital Markets","73447358464","19.831","2.159","0.72","1.974182","1.13017"
"Consumer Cyclical","15.881436","0.018","1620921","1104016","10.589","2.015","Sealed Air Corporation provides food safety and security, and product protection solutions and equipment in North America, South America, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Food Care and Product Care. The Food Care segment offers integrated packaging materials, equipment, and automation solutions to provide food safety and shelf life extension, and reduce resource use for perishable food processors in the smoked and processed meats, poultry, and dairy markets under the Cryovac, Cryovac Grip & Tear, Cryovac Darfresh, Cryovac Mirabella, Simple Steps, and Optidure brands. This segment sells its solutions directly to customers through its sales, marketing, and customer service personnel. The Product Care segment provides foam, corrugated, molded pulp, and wood packaging solutions to protect goods in shipping for the e-commerce, electronics, transportation, and industrial markets under the Bubble Wrap, Sealed Air, Instapak, and Korrvu brands, as well as offers automated bagging systems under the Autobag brand. This segment sells its solutions through supply distributors, as well as directly to fabricators, original equipment manufacturers, contract manufacturers, third-party logistics partners, e-commerce/fulfillment operations, and retail centers. Sealed Air Corporation was founded in 1960 and is headquartered in Charlotte, North Carolina.","https://logo.clearbit.com/sealedair.com","0.08239","1.3090607","0.2379","United States","Packaging & Containers","6339126784","-0.45","2.564","0.64","","1.207942"
"Basic Materials","35.723114","0.010299999","482114","421000","22.547","0.265","The Sherwin-Williams Company develops, manufactures, distributes, and sells paints, coatings, and related products to professional, industrial, commercial, and retail customers. It operates in three segments: The Americas Group, Consumer Brands Group, and Performance Coatings Group. The Americas Group segment offers architectural paints and coatings, and protective and marine products, as well as OEM product finishes and related products for architectural and industrial paint contractors, and do-it-yourself homeowners. The Consumer Brands Group segment provides branded and private-label architectural paints, stains, varnishes, industrial products, wood finishes products, wood preservatives, applicators, corrosion inhibitors, aerosols, caulks, and adhesives to retailers and distributors. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications, automotive refinish products, protective and marine coatings, coil coatings, packaging coatings, and performance-based resins and colorants. It serves retailers, dealers, jobbers, licensees, and other third-party distributors through its branches and direct sales staff, as well as through outside sales representatives. The company has operations primarily in North and South America, the Caribbean, Europe, Asia, and Australia. As of March 3, 2020, it operated approximately 4,900 company-operated stores and facilities. The company was founded in 1866 and is headquartered in Cleveland, Ohio.","https://logo.clearbit.com/sherwin-williams.com","0.09828","3.44209","0.259","United States","Specialty Chemicals","61037895680","42.776","18.766","5.36","15.671872","1.137892"
"Industrials","15.357644","0.097200006","537022","808233","10.202","0.092","Snap-on Incorporated manufactures and markets tools, equipment, diagnostics, and repair information and systems solutions for professional users worldwide. It operates through Commercial & Industrial Group, Snap-on Tools Group, Repair Systems & Information Group, and Financial Services segments. The company offers hand tools, including wrenches, sockets, ratchet wrenches, pliers, screwdrivers, punches and chisels, saws and cutting tools, pruning tools, torque measuring instruments, and other products; power tools, such as cordless, pneumatic, hydraulic, and corded tools, such as impact wrenches, ratchets, screwdrivers, drills, sanders, grinders, etc.; and tool storage products comprising tool chests, roll cabinets, and other products. It also provides handheld and PC-based diagnostic products, service and repair information products, diagnostic software solutions, electronic parts catalogs, business management systems and services, point-of-sale systems, integrated systems for vehicle service shops, original equipment manufacturer purchasing facilitation services, and warranty management systems and analytics. In addition, the company offers solutions for the service of vehicles and industrial equipment that include wheel alignment equipment, wheel balancers, tire changers, vehicle lifts, test lane systems, collision repair equipment, vehicle air conditioning service equipment, brake service equipment, fluid exchange equipment, transmission troubleshooting equipment, safety testing equipment, battery chargers, and hoists. Further, it provides financing programs to facilitate the sales of its products and support its franchise business. The company serves the aviation and aerospace, agriculture, construction, government and military, mining, natural resources, power generation, and technical education industries, as well as vehicle dealerships and repair centers. Snap-on Incorporated was founded in 1920 and is headquartered in Kenosha, Wisconsin.","https://logo.clearbit.com/snapon.com","0.15437001","2.3350592","0.4041","United States","Tools & Accessories","8904748032","66.759","10.695","4.32","2.4603424","1.34418"
"Financial Services","10.121115","0.013300001","1331958","1624583","","-0.048","State Street Corporation, through its subsidiaries, provides a range of financial products and services to institutional investors worldwide. It offers investment servicing products and services, including custody; product and participant level accounting; daily pricing and administration; master trust and master custody; depotbank services; record-keeping; cash management; foreign exchange, brokerage, and other trading services; securities finance; deposit and short-term investment facilities; loans and lease financing; investment manager and alternative investment manager operations outsourcing; performance, risk, and compliance analytics; and financial data management to support institutional investors. The company also engages in the investment servicing line of business, such as portfolio modeling and construction; trade order management; investment risk and compliance; and wealth management solutions. In addition, it provides investment management strategies and products, such as core and enhanced indexing, multi-asset strategies, active quantitative and fundamental active capabilities, and alternative investment strategies. Further, the company offers services and solutions, including environmental, social, and governance investing; defined benefit and defined contribution; and outsourced chief investment officer, as well as exchange-traded fund under the SPDR ETF brand. The company provides its products and services to mutual funds, collective investment funds and other investment pools, corporate and public retirement plans, insurance companies, foundations, endowments, and investment managers. State Street Corporation was founded in 1792 and is headquartered in Boston, Massachusetts.","https://logo.clearbit.com/statestreet.com","0.20916","1.9152236","0.3312","United States","Asset Management","22406201344","65.44","6.275","2.08","0.97050726","1.548814"
"Industrials","33.001144","0.0223","1077860","864933","16.578","-0.331","Stanley Black & Decker, Inc. engages in tools and storage, industrial, and security businesses worldwide. Its Tools & Storage segment offers power tools and equipment, including professional products, such as professional grade corded and cordless electric power tools and equipment, and pneumatic tools and fasteners; and consumer products comprising corded and cordless electric power tools primarily under the BLACK+DECKER brand, as well as lawn and garden products and related accessories, and home products. This segment sells its products through retailers, distributors, and a direct sales force to professional end users, distributors, retail consumers, and industrial customers in various industries. The company's Industrial segment provides engineered fastening products and systems to customers in the automotive, manufacturing, electronics, construction, aerospace industries, and others; sells and rents custom pipe handling, joint welding, and coating equipment for use in the construction of large and small diameter pipelines, as well as provides pipeline inspection services; and sells hydraulic tools, attachments, and accessories. This segment also serves oil and natural gas pipeline industry and other industrial customers. Its Security segment designs, supplies, and installs commercial electronic security systems and provides electronic security services; offers healthcare solutions, which include asset tracking, infant protection, pediatric protection, patient protection, wander management, fall management, and emergency call products; and sells automatic doors to commercial customers. This segment serves consumers, retailers, educational, financial, and healthcare institutions, as well as commercial, governmental, and industrial customers. The company was formerly known as The Stanley Works and changed its name to Stanley Black & Decker, Inc. in March 2010. Stanley Black & Decker, Inc. was founded in 1843 and is headquartered in New Britain, Connecticut.","https://logo.clearbit.com/stanleyblackanddecker.com","0.05881","2.026015","0.52669996","United States","Tools & Accessories","27602630656","52.977","5.238","2.8","3.2629254","1.527854"
"Technology","32.364315","0.019","1123520","1005933","19.743","-0.1","Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products, including intellectual property worldwide. Its product portfolio includes amplifiers, antenna tuners, attenuators, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, directional couplers, diversity receive modules, filters, front-end modules, hybrids, LED drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators, as well as wireless radio integrated circuits. The company provides its products for use in the aerospace, automotive, broadband, cellular infrastructure, connected home, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. The company was founded in 1962 and is headquartered in Irvine, California.","https://logo.clearbit.com/skyworksinc.com","0.24129999","7.62568","0.3868","United States","Semiconductors","24602730496","25.029","4.551","2","5.8847737","1.2107"
"Healthcare","51.007126","0.0099","1285946","854666","23.62","","Stryker Corporation operates as a medical technology company. The company operates through three segments: Orthopaedics, MedSurg, and Neurotechnology and Spine. The Orthopaedics segment provides implants for use in hip and knee joint replacements, and trauma and extremities surgeries. The MedSurg segment offers surgical equipment and surgical navigation systems, endoscopic and communications systems, patient handling, emergency medical equipment and intensive care disposable products, reprocessed and remanufactured medical devices, and other medical devices that are used in various medical specialties. The Neurotechnology and Spine segment provides neurotechnology products, which include products used for minimally invasive endovascular techniques; products for brain and open skull based surgical procedures; orthobiologic and biosurgery products, such as synthetic bone grafts and vertebral augmentation products; and minimally invasive products for the treatment of acute ischemic and hemorrhagic stroke. This segment also provides spinal implant products comprising cervical, thoracolumbar, and interbody systems that are used in spinal injury, deformity, and degenerative therapies. The company sells its products to doctors, hospitals, and other healthcare facilities through company-owned subsidiaries and branches, as well as third-party dealers and distributors in approximately 75 countries. Stryker Corporation was founded in 1941 and is headquartered in Kalamazoo, Michigan.","https://logo.clearbit.com/stryker.com","0.11379","5.732597","0.53330004","United States","Medical Devices","80657637376","33.956","4.21","2.3","6.324066","0.790954"
